电影名称,评分,链接,详情
飞屋环游记,9.1,https://movie.douban.com/subject/2129039/,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...2009 / 美国 / 剧情 喜剧 动画 冒险
让子弹飞,9.0,https://movie.douban.com/subject/3742360/,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部
哈尔的移动城堡,9.1,https://movie.douban.com/subject/1308807/,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...2004 / 日本 / 爱情 动画 奇幻 冒险
十二怒汉,9.4,https://movie.douban.com/subject/1293182/,导演: 西德尼·吕美特 Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁...1957 / 美国 / 剧情
素媛,9.3,https://movie.douban.com/subject/21937452/,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...2013 / 韩国 / 剧情
海蒂和爷爷,9.3,https://movie.douban.com/subject/25958717/,导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...2015 / 德国 瑞士 / 剧情 冒险 家庭
猫鼠游戏,9.1,https://movie.douban.com/subject/1305487/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...2002 / 美国 加拿大 / 传记 犯罪 剧情
天空之城,9.2,https://movie.douban.com/subject/1291583/,导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...1986 / 日本 / 动画 奇幻 冒险
鬼子来了,9.3,https://movie.douban.com/subject/1291858/,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...2000 / 中国大陆 / 剧情 喜剧
摔跤吧！爸爸,9.0,https://movie.douban.com/subject/26387939/,导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...2016 / 印度 / 剧情 传记 运动 家庭
少年派的奇幻漂流,9.1,https://movie.douban.com/subject/1929463/,导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险
钢琴家,9.3,https://movie.douban.com/subject/1296736/,导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...2002 / 英国 法国 波兰 德国 美国 / 剧情 传记 战争 音乐
指环王2：双塔奇兵,9.2,https://movie.douban.com/subject/1291572/,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
死亡诗社,9.2,https://movie.douban.com/subject/1291548/,导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...1989 / 美国 / 剧情
大话西游之月光宝盒,9.0,https://movie.douban.com/subject/1299398/,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
何以为家,9.1,https://movie.douban.com/subject/30170448/,导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情
闻香识女人,9.1,https://movie.douban.com/subject/1298624/,导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...1992 / 美国 / 剧情
绿皮书,8.9,https://movie.douban.com/subject/27060077/,导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐
大闹天宫,9.4,https://movie.douban.com/subject/1418019/,导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 动画 奇幻 古装
黑客帝国,9.1,https://movie.douban.com/subject/1291843/,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...1999 / 美国 / 动作 科幻
指环王1：护戒使者,9.1,https://movie.douban.com/subject/1291571/,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
罗马假日,9.1,https://movie.douban.com/subject/1293839/,导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...1953 / 美国 / 喜剧 剧情 爱情
教父2,9.3,https://movie.douban.com/subject/1299131/,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...1974 / 美国 / 剧情 犯罪
狮子王,9.1,https://movie.douban.com/subject/1301753/,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...1994 / 美国 / 动画 冒险 歌舞
天堂电影院,9.2,https://movie.douban.com/subject/1291828/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...1988 / 意大利 法国 / 剧情 爱情
饮食男女,9.2,https://movie.douban.com/subject/1291818/,导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...1994 / 中国台湾 美国 / 剧情 家庭
辩护人,9.2,https://movie.douban.com/subject/21937445/,导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...2013 / 韩国 / 剧情
本杰明·巴顿奇事,9.0,https://movie.douban.com/subject/1485260/,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...2008 / 美国 / 剧情 爱情 奇幻
搏击俱乐部,9.0,https://movie.douban.com/subject/1292000/,导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...1999 / 美国 / 剧情 动作 悬疑 惊悚
美丽心灵,9.1,https://movie.douban.com/subject/1306029/,导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...2001 / 美国 / 传记 剧情
穿条纹睡衣的男孩,9.2,https://movie.douban.com/subject/3008247/,导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...2008 / 英国 美国 / 剧情 战争
情书,8.9,https://movie.douban.com/subject/1292220/,导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...1995 / 日本 / 剧情 爱情
哈利·波特与死亡圣器(下),9.0,https://movie.douban.com/subject/3011235/,导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...2011 / 美国 英国 / 奇幻 冒险
两杆大烟枪,9.1,https://movie.douban.com/subject/1293350/,导演: 盖·里奇 Guy Ritchie   主演: 杰森·弗莱明 Jason Flemyng / 德克斯特...1998 / 英国 / 剧情 喜剧 犯罪
窃听风暴,9.2,https://movie.douban.com/subject/1900841/,导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...2006 / 德国 / 剧情 悬疑
音乐之声,9.1,https://movie.douban.com/subject/1294408/,导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...1965 / 美国 / 剧情 传记 爱情 歌舞
功夫,8.9,https://movie.douban.com/subject/1291543/,导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻
西西里的美丽传说,8.9,https://movie.douban.com/subject/1292402/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...2000 / 意大利 美国 / 剧情 战争 情色
哈利·波特与阿兹卡班的囚徒,9.0,https://movie.douban.com/subject/1291544/,导演: 阿方索·卡隆 Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Rad...2004 / 英国 美国 / 奇幻 冒险
阿凡达,8.8,https://movie.douban.com/subject/1652587/,导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...2009 / 美国 / 动作 科幻 冒险
看不见的客人,8.8,https://movie.douban.com/subject/26580232/,导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚
拯救大兵瑞恩,9.1,https://movie.douban.com/subject/1292849/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...1998 / 美国 / 剧情 战争
沉默的羔羊,8.9,https://movie.douban.com/subject/1293544/,导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...1991 / 美国 / 剧情 犯罪 惊悚
小鞋子,9.2,https://movie.douban.com/subject/1303021/,导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...1997 / 伊朗 / 剧情 儿童 家庭
飞越疯人院,9.1,https://movie.douban.com/subject/1292224/,导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...1975 / 美国 / 剧情
布达佩斯大饭店,8.9,https://movie.douban.com/subject/11525673/,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...2014 / 美国 德国 英国 / 剧情 喜剧 冒险
蝴蝶效应,8.9,https://movie.douban.com/subject/1292343/,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
禁闭岛,8.9,https://movie.douban.com/subject/2334904/,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...2010 / 美国 / 剧情 悬疑 惊悚
心灵捕手,9.0,https://movie.douban.com/subject/1292656/,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...1997 / 美国 / 剧情
致命魔术,8.9,https://movie.douban.com/subject/1780330/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...2006 / 英国 美国 / 剧情 悬疑 惊悚
低俗小说,8.9,https://movie.douban.com/subject/1291832/,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...1994 / 美国 / 剧情 喜剧 犯罪
超脱,9.0,https://movie.douban.com/subject/5322596/,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...2011 / 美国 / 剧情
哈利·波特与密室,8.9,https://movie.douban.com/subject/1296996/,导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...2002 / 英国 美国 / 奇幻 冒险
还有明天,9.3,https://movie.douban.com/subject/36445098/,导演: 宝拉·柯特莱西 Paola Cortellesi   主演: 宝拉·柯特莱西 Paola Corte...2023 / 意大利 / 剧情 喜剧 历史
喜剧之王,8.8,https://movie.douban.com/subject/1302425/,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...1999 / 中国香港 / 喜剧 剧情 爱情
摩登时代,9.3,https://movie.douban.com/subject/1294371/,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...1936 / 美国 / 剧情 喜剧 爱情
一一,9.1,https://movie.douban.com/subject/1292434/,导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...2000 / 中国台湾 日本 / 剧情 爱情 家庭
杀人回忆,8.9,https://movie.douban.com/subject/1300299/,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚
致命ID,8.9,https://movie.douban.com/subject/1297192/,导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...2003 / 美国 / 剧情 悬疑 惊悚
春光乍泄,9.0,https://movie.douban.com/subject/1292679/,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...1997 / 中国香港 日本 韩国 / 剧情 爱情 同性
海豚湾,9.3,https://movie.douban.com/subject/3442220/,导演: 路易·西霍尤斯 Louie Psihoyos   主演: 路易·西霍尤斯 Louie Psihoyo...2009 / 美国 / 纪录片
加勒比海盗,8.8,https://movie.douban.com/subject/1298070/,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...2003 / 美国 / 动作 冒险 奇幻
美国往事,9.1,https://movie.douban.com/subject/1292262/,导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...1984 / 美国 意大利 / 犯罪 剧情
红辣椒,9.0,https://movie.douban.com/subject/1865703/,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...2006 / 日本 / 动画 悬疑 科幻 惊悚
七宗罪,8.8,https://movie.douban.com/subject/1292223/,导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...1995 / 美国 / 剧情 犯罪 悬疑 惊悚
唐伯虎点秋香,8.8,https://movie.douban.com/subject/1306249/,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...1993 / 中国香港 / 喜剧 爱情 古装
